譌・莉・譛・騾ア,譖懈律,蜷臥伐蜿」,鬆郁オー蜿」,蠕。谿ソ蝣エ蜿」,蟇悟」ォ螳ョ蜿」,險・,,
2017,7,1,土,-,-,-,1569,
2017,7,1,日,1410,-,-,-,1410
2017,7,1,月,1244,-,-,-,1244
2017,7,1,火,661,-,-,-,661
2017,7,1,水,840,-,-,-,840
2017,7,1,木,1576,-,-,-,1576
2017,7,1,金,1758,-,-,-,1758
2017,7,2,土,3577,-,-,-,3577
2017,7,2,日,2563,-,-,-,2563
2017,7,2,月,1520,207,85,466,2278
2017,7,2,火,1276,176,174,363,1989
2017,7,2,水,1431,145,143,309,2028
2017,7,2,木,1106,130,110,419,1765
2017,7,2,金,1696,207,138,571,2612
2017,7,3,土,4033,763,427,1920,7143
2017,7,3,日,3664,791,483,1593,6531
2017,7,3,月,2157,318,306,749,3530
2017,7,3,火,1340,151,165,418,2074
2017,7,3,水,1424,164,295,870,2753
2017,7,3,木,1941,763,131,585,3420
2017,7,3,金,2286,407,192,981,3866
2017,7,4,土,3490,539,474,2166,6669
2017,7,4,日,2670,502,421,1364,4957
2017,7,4,月,2012,396,236,697,3341
2017,7,4,火,1507,206,442,622,2777
2017,7,4,水,1812,146,227,791,2976
2017,7,4,木,2452,167,384,1161,4164
2017,7,4,金,3426,300,406,1658,5790
2017,7,4,土,2921,467,419,1986,5793
2017,7,4,日,3454,394,368,1667,5883
2017,7,4,月,2675,248,422,1104,4449
2017,8,1,火,2114,236,418,594,3362
2017,8,1,水,2527,312,68,833,3740
2017,8,1,木,2841,335,308,949,4433
2017,8,1,金,2617,316,230,1575,4738
2017,8,1,土,4066,728,524,2290,7608
2017,8,1,日,2632,614,1020,1431,5697
2017,8,1,月,976,125,112,404,1617
2017,8,2,火,987,81,-,228,1296
2017,8,2,水,2767,436,177,1178,4558
2017,8,2,木,3121,458,521,1254,5354
2017,8,2,金,3786,436,440,1726,6388
2017,8,2,土,4544,643,447,1919,7553
2017,8,2,日,4471,571,503,2656,8201
2017,8,2,月,3744,452,378,1726,6300
2017,8,3,火,2599,343,241,1130,4313
2017,8,3,水,2530,337,94,794,3755
2017,8,3,木,2529,244,251,1317,4341
2017,8,3,金,2281,370,224,1292,4167
2017,8,3,土,3401,526,482,1814,6223
2017,8,3,日,2959,598,458,1135,5150
2017,8,3,月,2387,397,312,1068,4164
2017,8,4,火,2340,345,136,820,3641
2017,8,4,水,2221,368,299,994,3882
2017,8,4,木,2232,386,332,872,3822
2017,8,4,金,3059,380,364,1125,4928
2017,8,4,土,4105,670,526,2026,7327
2017,8,4,日,3461,709,524,1743,6437
2017,8,4,月,2426,425,217,899,3967
2017,8,4,火,2213,263,264,936,3676
2017,8,4,水,1844,208,548,603,3203
2017,8,4,木,1338,142,194,910,2584
2017,9,1,金,1342,156,231,847,2576
2017,9,1,土,3978,491,243,1761,6473
2017,9,1,日,3383,756,583,1613,6335
2017,9,1,月,2333,265,179,745,3522
2017,9,1,火,1759,229,115,705,2808
2017,9,1,水,1216,122,-,218,1556
2017,9,1,木,1132,142,-,473,1747
2017,9,2,金,1748,182,-,483,2413
2017,9,2,土,3481,568,-,1687,5736
2017,9,2,日,1676,523,-,1086,3285
2016,7,1,金,982,78,47,113,1220
2016,7,1,土,2333,127,72,407,2939
2016,7,1,日,1589,110,-,340,2039
2016,7,1,月,1058,113,27,147,1345
2016,7,1,火,896,59,56,133,1144
2016,7,1,水,967,55,38,152,1212
2016,7,1,木,1170,74,54,215,1513
2016,7,2,金,1159,68,50,165,1442
2016,7,2,土,1377,35,14,37,1463
2016,7,2,日,2149,320,267,559,3295
2016,7,2,月,1347,209,148,440,2144
2016,7,2,火,1326,147,110,280,1863
2016,7,2,水,890,62,65,145,1162
2016,7,2,木,1208,113,73,296,1690
2016,7,3,金,1364,184,-,557,2105
2016,7,3,土,3587,548,215,1494,5844
2016,7,3,日,3779,534,557,1519,6389
2016,7,3,月,1641,187,458,596,2882
2016,7,3,火,1287,163,128,468,2046
2016,7,3,水,1298,166,151,480,2095
2016,7,3,木,1564,527,507,589,3187
2016,7,4,金,1920,221,-,749,2890
2016,7,4,土,3554,504,320,1687,6065
2016,7,4,日,2475,365,457,1282,4579
2016,7,4,月,1779,265,263,982,3289
2016,7,4,火,1526,178,148,594,2446
2016,7,4,水,1572,170,-,811,2553
2016,7,4,木,2220,207,201,1014,3642
2016,7,4,金,2911,286,310,1346,4853
2016,7,4,土,4585,679,550,1948,7762
2016,7,4,日,2773,433,534,1375,5115
2016,8,1,月,1894,152,148,658,2852
2016,8,1,火,2009,138,303,709,3159
2016,8,1,水,2190,198,401,879,3668
2016,8,1,木,2639,214,228,1006,4087
2016,8,1,金,2907,355,286,1257,4805
2016,8,1,土,4339,704,517,2036,7596
2016,8,1,日,3019,510,517,1398,5444
2016,8,2,月,2729,264,181,944,4118
2016,8,2,火,2544,346,221,959,4070
2016,8,2,水,2903,422,261,994,4580
2016,8,2,木,3862,741,485,1572,6660
2016,8,2,金,4276,867,411,1786,7340
2016,8,2,土,3871,950,478,2107,7406
2016,8,2,日,3659,842,394,1735,6630
2016,8,3,月,2553,476,475,1280,4784
2016,8,3,火,1509,363,262,880,3014
2016,8,3,水,1767,222,248,678,2915
2016,8,3,木,1739,232,351,866,3188
2016,8,3,金,2858,471,236,1341,4906
2016,8,3,土,2788,465,138,1147,4538
2016,8,3,日,2425,342,293,1160,4220
2016,8,4,月,44,14,2,30,90
2016,8,4,火,1301,202,198,547,2248
2016,8,4,水,1680,173,326,808,2987
2016,8,4,木,2301,313,228,746,3588
2016,8,4,金,2653,454,303,925,4335
2016,8,4,土,3216,368,344,1525,5453
2016,8,4,日,1777,306,-,736,2819
2016,8,4,月,119,24,30,409,582
2016,8,4,火,562,24,0,47,633
2016,8,4,水,1160,148,51,308,1667
2016,9,1,木,1600,288,130,995,3013
2016,9,1,金,2259,333,166,1001,3759
2016,9,1,土,4379,684,396,1673,7132
2016,9,1,日,2452,282,210,589,3533
2016,9,1,月,1450,136,144,566,2296
2016,9,1,火,1661,118,143,473,2395
2016,9,1,水,745,72,39,210,1066
2016,9,2,木,799,54,0,69,922
2016,9,2,金,1837,180,85,600,2702
2016,9,2,土,3208,362,248,1230,5048
2015,7,1,木,75,2,0,0,77
2015,7,1,金,705,9,0,422,1136
2015,7,1,土,118,2,0,2,122
2015,7,1,日,1674,76,0,104,1854
2015,7,1,月,577,18,0,25,620
2015,7,1,火,533,43,1,23,600
2015,7,1,水,721,50,82,179,1032
2015,7,2,木,631,47,193,208,1079
2015,7,2,金,816,53,44,69,982
2015,7,2,土,1433,149,170,704,2456
2015,7,2,日,2927,432,244,1114,4717
2015,7,2,月,1732,268,340,686,3026
2015,7,2,火,1023,502,93,342,1960
2015,7,2,水,1159,444,54,326,1983
2015,7,3,木,1408,342,81,287,2118
2015,7,3,金,70,1,0,12,83
2015,7,3,土,17,0,0,28,45
2015,7,3,日,1998,121,0,685,2804
2015,7,3,月,4022,943,617,2105,7687
2015,7,3,火,1922,370,330,943,3565
2015,7,3,水,1350,282,71,590,2293
2015,7,4,木,1066,186,88,585,1925
2015,7,4,金,1371,616,20,227,2234
2015,7,4,土,3197,335,315,983,4830
2015,7,4,日,3524,780,381,2099,6784
2015,7,4,月,2473,590,485,1335,4883
2015,7,4,火,1910,477,200,1013,3600
2015,7,4,水,1427,267,363,894,2951
2015,7,4,木,1754,113,793,897,3557
2015,7,4,金,1764,215,382,997,3358
2015,7,4,土,2448,495,243,1265,4451
2015,8,1,日,3337,964,503,2249,7053
2015,8,1,月,2570,720,528,1387,5205
2015,8,1,火,2175,325,197,818,3515
2015,8,1,水,1899,254,150,962,3265
2015,8,1,木,1938,297,196,906,3337
2015,8,1,金,2020,301,154,856,3331
2015,8,1,土,2374,383,189,1036,3982
2015,8,2,日,4252,727,311,1885,7175
2015,8,2,月,3504,821,459,1729,6513
2015,8,2,火,3060,527,339,1460,5386
2015,8,2,水,2552,458,392,1494,4896
2015,8,2,木,2971,488,213,1366,5038
2015,8,2,金,2797,365,125,1182,4469
2015,8,2,土,3485,572,332,1693,6082
2015,8,3,日,3144,671,429,1560,5804
2015,8,3,月,1865,437,345,880,3527
2015,8,3,火,876,59,44,119,1098
2015,8,3,水,1700,237,46,502,2485
2015,8,3,木,1896,298,109,790,3093
2015,8,3,金,1936,186,161,554,2837
2015,8,3,土,2565,287,572,1026,4450
2015,8,4,日,4099,771,375,1839,7084
2015,8,4,月,2435,551,488,1318,4792
2015,8,4,火,1695,668,128,619,3110
2015,8,4,水,1248,263,111,357,1979
2015,8,4,木,1081,124,15,256,1476
2015,8,4,金,1239,198,564,543,2544
2015,8,4,土,1766,404,480,809,3459
2015,8,4,日,3151,460,666,1820,6097
2015,8,4,月,980,174,23,120,1297
2015,9,4,火,812,213,62,169,1256
2015,9,1,水,751,104,41,283,1179
2015,9,1,木,828,121,16,834,1799
2015,9,1,金,1080,188,346,533,2147
2015,9,1,土,1744,299,92,614,2749
2015,9,1,日,4729,740,327,1670,7466
2015,9,1,月,2121,256,197,740,3314
2015,9,1,火,146,109,286,1453,
